Index,Word
613,него
614,ниже
615,мало
616,надо
617,один
618,одиннадцать
619,одиннадцатый
620,назад
621,наиболее
622,недавно
623,миллионов
624,недалеко
625,между
626,низко
627,меля
628,нельзя
629,нибудь
630,непрерывно
631,наконец
632,никогда
633,никуда
634,нас
635,наш
636,нет
637,нею
638,неё
639,них
640,мира
641,наша
642,наше
643,наши
644,ничего
645,начала
646,нередко
647,несколько
648,обычно
649,опять
650,около
651,мы
652,ну
653,нх
654,от
655,отовсюду
656,особенно
657,нужно
658,очень
659,отсюда
660,в
661,во
662,вон
663,вниз
664,внизу
665,вокруг
666,вот
667,восемнадцать
668,восемнадцатый
669,восемь
670,восьмой
671,вверх
672,вам
673,вами
674,важное
675,важная
676,важные
677,важный
678,вдали
679,везде
680,ведь
681,вас
682,ваш
683,ваша
684,ваше
685,ваши
686,впрочем
687,весь
688,вдруг
689,вы
690,все
691,второй
692,всем
693,всеми
694,времени
695,время
696,всему
697,всего
698,всегда
699,всех
700,всею
701,всю
702,вся
703,всё
704,всюду
705,г
706,год
707,говорил
708,говорит
709,года
710,году
711,где
712,да
713,ее
714,за
715,из
716,ли
717,же
718,им
719,до
720,по
721,ими
722,под
723,иногда
724,довольно
725,именно
726,долго
727,позже
728,более
729,должно
730,пожалуйста
731,значит
732,иметь
733,больше
734,пока
735,ему
736,имя
737,пор
738,пора
739,потом
740,потому
741,после
742,почему
743,почти
744,посреди
745,ей
746,два
747,две
748,двенадцать
749,двенадцатый
750,двадцать
751,двадцатый
752,двух
753,его
754,дел
755,или
756,без
757,день
758,занят
759,занята
760,занято
761,заняты
762,действительно
763,давно
764,девятнадцать
765,девятнадцатый
766,девять
767,девятый
768,даже
769,алло
770,жизнь
771,далеко
772,близко
773,здесь
774,дальше
775,для
776,лет
777,зато
778,даром
779,первый
780,перед
781,затем
782,зачем
783,лишь
784,десять
785,десятый
786,ею
787,её
788,их
789,бы
790,еще
791,при
792,был
793,про
794,процентов
795,против
796,просто
797,бывает
798,бывь
799,если
800,люди
801,была
802,были
803,было
804,будем
805,будет
806,будете
807,будешь
808,прекрасно
809,буду
810,будь
811,будто
812,будут
813,ещё
814,пятнадцать
815,пятнадцатый
816,друго
817,другое
818,другой
819,другие
820,другая
821,других
822,есть
823,пять
824,быть
825,лучше
826,пятый
827,к
828,ком
829,конечно
830,кому
831,кого
832,когда
833,которой
834,которого
835,которая
836,которые
837,который
838,которых
839,кем
840,каждое
841,каждая
842,каждые
843,каждый
844,кажется
845,как
846,какой
847,какая
848,кто
849,кроме
850,куда
851,кругом
852,с
853,т
854,у
855,я
856,та
857,те
858,уж
859,со
860,то
861,том
862,снова
863,тому
864,совсем
865,того
866,тогда
867,тоже
868,собой
869,тобой
870,собою
871,тобою
872,сначала
873,только
874,уметь
875,тот
876,тою
877,хорошо
878,хотеть
879,хочешь
880,хоть
881,хотя
882,свое
883,свои
884,твой
885,своей
886,своего
887,своих
888,свою
889,твоя
890,твоё
891,раз
892,уже
893,сам
894,там
895,тем
896,чем
897,сама
898,сами
899,теми
900,само
901,рано
902,самом
903,самому
904,самой
905,самого
906,семнадцать
907,семнадцатый
908,самим
909,самими
910,самих
911,саму
912,семь
913,чему
914,раньше
915,сейчас
916,чего
917,сегодня
918,себе
919,тебе
920,сеаой
921,человек
922,разве
923,теперь
924,себя
925,тебя
926,седьмой
927,спасибо
928,слишком
929,так
930,такое
931,такой
932,такие
933,также
934,такая
935,сих
936,тех
937,чаще
938,четвертый
939,через
940,часто
941,шестой
942,шестнадцать
943,шестнадцатый
944,шесть
945,четыре
946,четырнадцать
947,четырнадцатый
948,сколько
949,сказал
950,сказала
951,сказать
952,ту
953,ты
954,три
955,эта
956,эти
957,что
958,это
959,чтоб
960,этом
961,этому
962,этой
963,этого
964,чтобы
965,этот
966,стал
967,туда
968,этим
969,этими
970,рядом
971,тринадцать
972,тринадцатый
973,этих
974,третий
975,тут
976,эту
977,суть
978,чуть
979,тысяч
980,ок
981,товар
982,брать
983,понравиться
984,качество
985,удобный
986,покупка
987,купить
988,цена
989,пломба
990,классный
991,доставка
992,очень
993,довольный
994,быстрый
995,быстро
996,хороший
997,отлично
998,все
999,прийти
1000,класс
1001,отличный
1002,свой
1003,отзыв
1004,приходить
1005,супер
1006,это
1007,спасибо
1008,работа
1009,норма
1010,вещь
1011,бомба
1012,wildberries
1013,фото
1014,крутой
1015,качественный
1016,упаковка
1017,ужас
1018,фото
1019,идеальный
1020,штука
1021,рекомендовать
1022,поэтому
1023,тыс
1024,руб
1025,дол
1026,коп
1027,подарок
1028,столько
1029,рубль
1030,доллар
1040,тясяча
1041,коробка
1042,каробка
1043,басс
